id,user_id,order_date,status,updated_at_utc
1,1,2018-01-01,returned,2026-01-06 23:21:41
2,3,2018-01-02,completed,2026-01-06 23:21:41
3,94,2018-01-04,completed,2026-01-06 23:21:41
4,50,2018-01-05,completed,2026-01-06 23:21:41
5,64,2018-01-05,completed,2026-01-06 23:21:41
6,54,2018-01-07,completed,2026-01-06 23:21:41
7,88,2018-01-09,completed,2026-01-06 23:21:41
8,2,2018-01-11,returned,2026-01-06 23:21:41
9,53,2018-01-12,completed,2026-01-06 23:21:41
10,7,2018-01-14,completed,2026-01-06 23:21:41
11,99,2018-01-14,completed,2026-01-06 23:21:41
12,59,2018-01-15,completed,2026-01-06 23:21:41
13,84,2018-01-17,completed,2026-01-06 23:21:41
14,40,2018-01-17,returned,2026-01-06 23:21:41
15,25,2018-01-17,completed,2026-01-06 23:21:41
16,39,2018-01-18,completed,2026-01-06 23:21:41
17,71,2018-01-18,completed,2026-01-06 23:21:41
18,64,2018-01-20,returned,2026-01-06 23:21:41
19,54,2018-01-22,completed,2026-01-06 23:21:41
20,20,2018-01-23,completed,2026-01-06 23:21:41
21,71,2018-01-23,completed,2026-01-06 23:21:41
22,86,2018-01-24,completed,2026-01-06 23:21:41
23,22,2018-01-26,return_pending,2026-01-06 23:21:41
24,3,2018-01-27,completed,2026-01-06 23:21:41
25,51,2018-01-28,completed,2026-01-06 23:21:41
26,32,2018-01-28,completed,2026-01-06 23:21:41
27,94,2018-01-29,completed,2026-01-06 23:21:41
28,8,2018-01-29,completed,2026-01-06 23:21:41
29,57,2018-01-31,completed,2026-01-06 23:21:41
30,69,2018-02-02,completed,2026-01-06 23:21:41
31,16,2018-02-02,completed,2026-01-06 23:21:41
32,28,2018-02-04,completed,2026-01-06 23:21:41
33,42,2018-02-04,completed,2026-01-06 23:21:41
34,38,2018-02-06,completed,2026-01-06 23:21:41
35,80,2018-02-08,completed,2026-01-06 23:21:41
36,85,2018-02-10,completed,2026-01-06 23:21:41
37,1,2018-02-10,completed,2026-01-06 23:21:41
38,51,2018-02-10,completed,2026-01-06 23:21:41
39,26,2018-02-11,completed,2026-01-06 23:21:41
40,33,2018-02-13,completed,2026-01-06 23:21:41
41,99,2018-02-14,completed,2026-01-06 23:21:41
42,92,2018-02-16,completed,2026-01-06 23:21:41
43,31,2018-02-17,completed,2026-01-06 23:21:41
44,66,2018-02-17,completed,2026-01-06 23:21:41
45,22,2018-02-17,completed,2026-01-06 23:21:41
46,6,2018-02-19,completed,2026-01-06 23:21:41
47,50,2018-02-20,completed,2026-01-06 23:21:41
48,27,2018-02-21,completed,2026-01-06 23:21:41
49,35,2018-02-21,completed,2026-01-06 23:21:41
50,51,2018-02-23,completed,2026-01-06 23:21:41
51,71,2018-02-24,completed,2026-01-06 23:21:41
52,54,2018-02-25,return_pending,2026-01-06 23:21:41
53,34,2018-02-26,completed,2026-01-06 23:21:41
54,54,2018-02-26,completed,2026-01-06 23:21:41
55,18,2018-02-27,completed,2026-01-06 23:21:41
56,79,2018-02-28,completed,2026-01-06 23:21:41
57,93,2018-03-01,completed,2026-01-06 23:21:41
58,22,2018-03-01,completed,2026-01-06 23:21:41
59,30,2018-03-02,completed,2026-01-06 23:21:41
60,12,2018-03-03,completed,2026-01-06 23:21:41
61,63,2018-03-03,completed,2026-01-06 23:21:41
62,57,2018-03-05,completed,2026-01-06 23:21:41
63,70,2018-03-06,completed,2026-01-06 23:21:41
64,13,2018-03-07,completed,2026-01-06 23:21:41
65,26,2018-03-08,completed,2026-01-06 23:21:41
66,36,2018-03-10,completed,2026-01-06 23:21:41
67,79,2018-03-11,completed,2026-01-06 23:21:41
68,53,2018-03-11,completed,2026-01-06 23:21:41
69,3,2018-03-11,completed,2026-01-06 23:21:41
70,8,2018-03-12,completed,2026-01-06 23:21:41
71,42,2018-03-12,shipped,2026-01-06 23:21:41
72,30,2018-03-14,shipped,2026-01-06 23:21:41
73,19,2018-03-16,completed,2026-01-06 23:21:41
74,9,2018-03-17,shipped,2026-01-06 23:21:41
75,69,2018-03-18,completed,2026-01-06 23:21:41
76,25,2018-03-20,completed,2026-01-06 23:21:41
77,35,2018-03-21,shipped,2026-01-06 23:21:41
78,90,2018-03-23,shipped,2026-01-06 23:21:41
79,52,2018-03-23,shipped,2026-01-06 23:21:41
80,11,2018-03-23,shipped,2026-01-06 23:21:41
81,76,2018-03-23,shipped,2026-01-06 23:21:41
82,46,2018-03-24,shipped,2026-01-06 23:21:41
83,54,2018-03-24,shipped,2026-01-06 23:21:41
84,70,2018-03-26,placed,2026-01-06 23:21:41
85,47,2018-03-26,shipped,2026-01-06 23:21:41
86,68,2018-03-26,placed,2026-01-06 23:21:41
87,46,2018-03-27,placed,2026-01-06 23:21:41
88,91,2018-03-27,shipped,2026-01-06 23:21:41
89,21,2018-03-28,placed,2026-01-06 23:21:41
90,66,2018-03-30,shipped,2026-01-06 23:21:41
91,47,2018-03-31,placed,2026-01-06 23:21:41
92,84,2018-04-02,placed,2026-01-06 23:21:41
93,66,2018-04-03,placed,2026-01-06 23:21:41
94,63,2018-04-03,placed,2026-01-06 23:21:41
95,27,2018-04-04,placed,2026-01-06 23:21:41
96,90,2018-04-06,placed,2026-01-06 23:21:41
97,89,2018-04-07,placed,2026-01-06 23:21:41
98,41,2018-04-07,placed,2026-01-06 23:21:41
99,85,2018-04-09,placed,2026-01-06 23:21:41
